datestr,temp,winddir,humidity,windspeed,pressure,precip,conditions,cloudcover,solarradiation,icon,irradiance
2025-05-07 00:00:00,19.0,110.0,77.61,10.8,1012.0,0.0,Overcast,100.0,0.0,cloudy,
2025-05-07 01:00:00,19.0,110.0,72.75,10.8,1012.0,0.0,Overcast,100.0,0.0,cloudy,
2025-05-07 02:00:00,18.0,120.0,77.46,10.8,1012.0,0.0,Partially cloudy,50.0,0.0,partly-cloudy-night,
2025-05-07 03:00:00,19.0,120.0,68.17,10.8,1012.0,0.0,Partially cloudy,50.0,0.0,partly-cloudy-night,
2025-05-07 04:00:00,18.0,120.0,72.57,7.2,1012.0,0.0,Partially cloudy,50.0,0.0,partly-cloudy-night,
2025-05-07 05:00:00,19.0,120.0,63.84,7.2,1012.0,0.0,Partially cloudy,50.0,0.0,partly-cloudy-night,
2025-05-07 06:00:00,19.0,130.0,68.17,7.2,1013.0,0.0,Partially cloudy,50.0,31.0,partly-cloudy-day,
2025-05-07 07:00:00,20.0,160.0,59.99,7.2,1014.0,0.0,Partially cloudy,50.0,203.0,partly-cloudy-day,
2025-05-07 08:00:00,21.0,140.0,52.79,10.8,1013.0,0.0,Partially cloudy,25.0,330.0,partly-cloudy-day,
2025-05-07 09:00:00,22.0,120.0,53.05,14.4,1013.0,0.0,Partially cloudy,25.0,496.0,partly-cloudy-day,790.5507246376811
2025-05-07 10:00:00,23.0,170.0,53.31,14.4,1013.0,0.0,Overcast,100.0,785.0,cloudy,914.8969371632821
2025-05-07 11:00:00,24.0,160.0,50.19,18.0,1013.0,0.0,Overcast,100.0,874.0,cloudy,897.7346084864283
2025-05-07 12:00:00,24.0,140.0,53.56,18.0,1013.0,0.0,Overcast,100.0,831.0,cloudy,1020.7276155190817
2025-05-07 13:00:00,25.0,150.0,53.82,18.0,1012.0,0.0,Overcast,100.0,629.0,cloudy,660.584916079569
2025-05-07 14:00:00,25.0,140.0,53.82,18.0,1011.0,0.0,Overcast,100.0,746.0,cloudy,685.2448044404287
2025-05-07 15:00:00,26.0,110.0,54.07,14.4,1011.0,0.0,Overcast,100.0,554.0,cloudy,592.1318158622489
2025-05-07 16:00:00,25.0,120.0,57.38,18.0,1011.0,0.0,Overcast,100.0,478.0,cloudy,326.72118001046573
2025-05-07 17:00:00,24.0,100.0,57.14,18.0,1011.0,0.0,Overcast,100.0,297.0,cloudy,124.95608418536806
2025-05-07 18:00:00,22.0,110.0,64.49,25.2,1012.0,0.0,Overcast,100.0,124.0,cloudy,17.216666666666665
2025-05-07 19:00:00,20.0,120.0,77.76,21.6,1013.0,0.0,Overcast,100.0,0.0,cloudy,0.0
2025-05-07 20:00:00,20.0,110.0,77.76,18.0,1014.0,0.0,Overcast,100.0,0.0,cloudy,0.0
2025-05-07 21:00:00,18.0,126.2,82.63,18.0,1014.0,0.0,Overcast,100.0,0.0,cloudy,0.0
2025-05-07 22:00:00,18.0,139.0,83.16,19.1,1014.0,0.0,Overcast,100.0,0.0,cloudy,0.0
2025-05-07 23:00:00,17.9,139.7,84.22,18.7,1014.0,0.0,Overcast,100.0,0.0,cloudy,0.0
2025-05-08 00:00:00,20.0,160.0,77.76,14.4,1014.0,0.0,Partially cloudy,50.0,0.0,partly-cloudy-night,0.0
2025-05-08 01:00:00,20.0,160.0,77.76,14.4,1013.0,0.0,Partially cloudy,50.0,0.0,partly-cloudy-night,0.0
2025-05-08 02:00:00,20.0,160.0,77.76,14.4,1013.0,0.0,Partially cloudy,50.0,0.0,partly-cloudy-night,0.0
2025-05-08 03:00:00,19.0,150.0,82.75,14.4,1013.0,0.0,Partially cloudy,50.0,0.0,partly-cloudy-night,0.0
2025-05-08 04:00:00,19.0,170.0,82.75,7.2,1012.0,0.0,Overcast,100.0,0.0,cloudy,0.16071428571428573
2025-05-08 05:00:00,20.0,160.0,77.76,10.8,1013.0,0.0,Partially cloudy,50.0,0.0,partly-cloudy-night,22.958823914181057
2025-05-08 06:00:00,20.0,140.0,77.76,18.0,1012.0,0.0,Partially cloudy,50.0,32.0,partly-cloudy-day,53.856218609569126
2025-05-08 07:00:00,20.0,160.0,88.27,14.4,1013.0,0.0,Partially cloudy,50.0,186.0,partly-cloudy-day,106.59615384615384
2025-05-08 08:00:00,20.0,140.0,88.27,14.4,1012.0,0.0,Partially cloudy,50.0,370.0,partly-cloudy-day,284.710557299843
2025-05-08 09:00:00,21.0,140.0,82.98,18.0,1011.0,0.0,Partially cloudy,50.0,388.0,partly-cloudy-day,283.1875
2025-05-08 10:00:00,21.0,160.0,82.98,14.4,1012.0,0.0,Partially cloudy,88.0,477.0,partly-cloudy-day,221.88285589315598
2025-05-08 11:00:00,21.0,150.0,88.35,18.0,1011.0,0.1,"Rain, Partially cloudy",50.0,92.0,rain,162.98478465594607
2025-05-08 12:00:00,20.0,130.0,93.97,14.4,1011.0,0.1,"Rain, Partially cloudy",50.0,58.0,rain,82.88087650635026
2025-05-08 13:00:00,20.0,120.0,93.97,18.0,1010.0,0.7,"Rain, Partially cloudy",88.0,186.0,rain,78.14804677227232
2025-05-08 14:00:00,20.0,120.0,93.97,14.4,1009.0,2.7,"Rain, Partially cloudy",88.0,26.0,rain,83.43990165215105
2025-05-08 15:00:00,20.0,130.0,93.97,25.2,1008.0,0.5,"Rain, Partially cloudy",88.0,32.0,rain,64.14322052094981
2025-05-08 16:00:00,20.0,120.0,93.97,21.6,1007.0,0.3,"Rain, Partially cloudy",88.0,86.0,rain,145.27317073170732
2025-05-08 17:00:00,20.0,150.0,88.27,21.6,1007.0,0.2,"Rain, Partially cloudy",88.0,58.0,rain,
2025-05-08 18:00:00,20.0,160.0,88.27,25.2,1007.0,0.3,"Rain, Partially cloudy",88.0,10.0,rain,
2025-05-08 19:00:00,19.0,170.0,100.0,10.8,1007.0,0.9,"Rain, Partially cloudy",88.0,0.0,rain,0.0
2025-05-08 20:00:00,19.0,160.0,100.0,14.4,1006.0,4.5,"Rain, Partially cloudy",88.0,0.0,rain,0.0
2025-05-08 21:00:00,20.4,155.0,96.95,25.6,1004.0,10.3,"Rain, Overcast",100.0,0.0,rain,0.0
2025-05-08 22:00:00,20.8,155.1,96.96,23.4,1004.0,10.8,"Rain, Overcast",100.0,0.0,rain,0.0
2025-05-08 23:00:00,21.4,161.6,95.2,27.7,1003.0,1.5,"Rain, Overcast",100.0,0.0,rain,0.0
2025-05-09 00:00:00,21.0,170.7,94.02,3.6,1003.0,1.7,"Rain, Partially cloudy",50.0,0.0,rain,0.0
2025-05-09 01:00:00,21.0,173.8,94.02,3.6,1002.0,0.6,"Rain, Partially cloudy",50.0,0.0,rain,0.0
2025-05-09 02:00:00,23.0,170.0,88.51,14.4,1002.0,0.0,Overcast,100.0,0.0,cloudy,0.0
2025-05-09 03:00:00,23.0,170.0,88.51,14.4,1001.0,0.0,Overcast,100.0,0.0,cloudy,0.0
2025-05-09 04:00:00,23.0,185.6,88.51,3.6,1000.0,0.4,"Rain, Partially cloudy",88.0,0.0,rain,0.0
2025-05-09 05:00:00,24.0,160.0,83.33,14.4,1001.0,0.0,Overcast,100.0,0.0,cloudy,4.210972639191177
2025-05-09 06:00:00,22.0,204.3,94.06,3.6,1001.0,0.0,Overcast,100.0,26.0,cloudy,29.37910537102735
2025-05-09 07:00:00,22.0,300.0,94.06,7.2,1002.0,0.3,"Rain, Overcast",100.0,8.0,rain,55.207971014492756
2025-05-09 08:00:00,23.0,20.0,94.1,7.2,1003.0,0.2,"Rain, Partially cloudy",88.0,168.0,rain,55.65797101449276
2025-05-09 09:00:00,23.0,237.3,94.1,3.6,1004.0,0.6,"Rain, Partially cloudy",88.0,86.0,rain,112.31057971014494
2025-05-09 10:00:00,23.0,265.1,94.1,3.6,1005.0,1.1,"Rain, Partially cloudy",88.0,76.0,rain,
2025-05-09 11:00:00,23.0,140.0,94.1,10.8,1005.0,3.1,"Rain, Partially cloudy",88.0,43.0,rain,106.75616025802128
2025-05-09 12:00:00,22.0,10.0,94.06,14.4,1004.0,0.6,"Rain, Partially cloudy",88.0,131.0,rain,157.58388102460398
